"count_american_indian","count_asian_non_hispanic","count_black_non_hispanic","count_citizen_status_total","count_citizen_status_unknown","count_ethnicity_total","count_ethnicity_unknown","count_female","count_gender_total","count_gender_unknown","count_hispanic_latino","count_male","count_nreceives_public_assistance","count_other_citizen_status","count_other_ethnicity","count_pacific_islander","count_participants","count_permanent_resident_alien","count_public_assistance_total","count_public_assistance_unknown","count_receives_public_assistance","count_us_citizen","count_white_non_hispanic","jurisdiction_name","percent_american_indian","percent_asian_non_hispanic","percent_black_non_hispanic","percent_citizen_status_total","percent_citizen_status_unknown","percent_ethnicity_total","percent_ethnicity_unknown","percent_female","percent_gender_total","percent_gender_unknown","percent_hispanic_latino","percent_male","percent_nreceives_public_assistance","percent_other_citizen_status","percent_other_ethnicity","percent_pacific_islander","percent_permanent_resident_alien","percent_public_assistance_total","percent_public_assistance_unknown","percent_receives_public_assistance","percent_us_citizen","percent_white_non_hispanic"
"0","3","21","44","0","44","0","22","44","0","16","22","24","0","3","0","44","2","44","0","20","42","1","10001","0","0.07","0.48","100","0","100","0","0.5","100","0","0.36","0.5","0.55","0","0.07","0","0.05","100","0","0.45","0.95","0.02"
"0","28","0","35","0","35","0","19","35","0","1","16","33","0","0","0","35","2","35","0","2","33","6","10002","0","0.8","0","100","0","100","0","0.54","100","0","0.03","0.46","0.94","0","0","0","0.06","100","0","0.06","0.94","0.17"
"0","1","0","1","0","1","0","1","1","0","0","0","1","0","0","0","1","0","1","0","0","1","0","10003","0","1","0","100","0","100","0","1","100","0","0","0","1","0","0","0","0","100","0","0","1","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","1","1","2","0","2","0","2","2","0","0","0","2","0","0","0","2","1","2","0","0","1","0","10005","0","0.5","0.5","100","0","100","0","1","100","0","0","0","1","0","0","0","0.5","100","0","0","0.5","0"
"0","0","3","6","0","6","0","2","6","0","2","4","6","0","0","0","6","0","6","0","0","6","1","10006","0","0","0.5","100","0","100","0","0.33","100","0","0.33","0.67","1","0","0","0","0","100","0","0","1","0.17"
"0","1","0","1","0","1","0","0","1","0","0","1","0","0","0","0","1","0","1","0","1","1","0","10007","0","1","0","100","0","100","0","0","100","0","0","1","0","0","0","0","0","100","0","1","1","0"
"0","2","0","2","0","2","0","0","2","0","0","2","2","0","0","0","2","0","2","0","0","2","0","10009","0","1","0","100","0","100","0","0","100","0","0","1","1","0","0","0","0","100","0","0","1","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","1","3","0","3","0","2","3","0","1","1","3","0","1","0","3","0","3","0","0","3","0","10011","0","0","0.33","100","0","99","0","0.67","100","0","0.33","0.33","1","0","0.33","0","0","100","0","0","1","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","8","0","8","0","8","0","1","8","0","0","7","7","0","0","0","8","0","8","0","1","8","0","10013","0","1","0","100","0","100","0","0.13","100","0","0","0.88","0.88","0","0","0","0","100","0","0.13","1","0"
